depth,GR
2964.94,100.111
2965.064,100.931
2965.189,101.427
2965.313,102.226
2965.437,103.737
2965.562,105.052
2965.686,104.441
2965.81,103.262
2965.934,103.491
2966.058,105.527
2966.183,107.071
2966.307,106.344
2966.431,102.614
2966.555,97.139
2966.679,91.51
2966.804,88.354
2966.928,87.854
2967.052,87.889
2967.176,87.312
2967.301,88.308
2967.425,91.766
2967.549,93.611
2967.673,90.093
2967.797,83.021
2967.922,79.132
2968.046,80.531
2968.17,83.788
2968.294,86.278
2968.418,87.727
2968.543,89.099
2968.667,89.476
2968.791,87.874
2968.916,86.135
2969.04,85.921
2969.164,86.732
2969.288,87.344
2969.412,88.556
2969.537,91.909
2969.661,95.997
2969.785,98.553
2969.909,100.348
2970.033,103.417
2970.157,106.378
2970.282,105.969
2970.406,103.413
2970.53,102.621
2970.654,104.513
2970.779,106.072
2970.903,104.332
2971.027,100.838
2971.151,97.734
2971.275,96.388
2971.4,96.379
2971.524,96.289
2971.648,95.651
2971.772,94.851
2971.896,94.352
2972.021,94.458
2972.145,95.121
2972.269,96.479
2972.393,98.031
2972.517,99.081
